画像,カード名,カードタイプ,マナコスト,カードテキスト,パワー,タフネス,レアリティ
Self-Reflection,Sorcery,{4}{U}{U},"Create a token that’s a copy of target creature you control.

Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,Uncommon,https://cards.scryfall.io/large/front/1/2/1242203d-c9b5-4ab6-802e-e222f92291e9.jpg?1699043913
Shipwreck Sentry,Creature — Human Pirate,{1}{U},"Defender

As long as an artifact entered the battlefield under your control this turn, Shipwreck Sentry can attack as though it didn’t have defender.",3,3,Common,https://cards.scryfall.io/large/front/8/1/814803bc-72cd-46db-b957-4322f2a7b28a.jpg?1699043922
Sinuous Benthisaur,Creature — Dinosaur,{5}{U},"When Sinuous Benthisaur enters the battlefield, look at the top X cards of your library, where X is the number of Caves you control plus the number of Cave cards in your graveyard. Put two of those cards into your hand and the rest on the bottom of your library in a random order.",4,4,Uncommon,https://cards.scryfall.io/large/front/7/a/7a58639c-001f-4cb1-89fd-0a0967b86977.jpg?1699043930
Song of Stupefaction,Enchantment — Aura,{1}{U},"Enchant creature or Vehicle

When Song of Stupefaction enters the battlefield, you may mill two cards. (You may put the top two cards of your library into your graveyard.)

Fathomless descent — Enchanted permanent gets -X/-0, where X is the number of permanent cards in your graveyard.",,,Common,https://cards.scryfall.io/large/front/a/b/ab8f7a75-df5e-43b3-8c33-328ad0dc3c40.jpg?1699043938
Spyglass Siren,Creature — Siren Pirate,{U},"Flying

When Spyglass Siren enters the battlefield, create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",1,1,Uncommon,https://cards.scryfall.io/large/front/4/1/41e54343-95e5-4dc4-9f18-e4a415fe5e0a.jpg?1699043946
Staunch Crewmate,Creature — Human Pirate,{1}{U},"When Staunch Crewmate enters the battlefield, look at the top four cards of your library. You may reveal an artifact or Pirate card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2,1,Uncommon,https://cards.scryfall.io/large/front/1/4/143e9845-8a11-4fc4-b116-29a929985146.jpg?1699043955
Subterranean Schooner,Artifact — Vehicle,{1}{U},"Whenever Subterranean Schooner attacks, target creature that crewed it this turn explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)

Crew 1",3,4,Rare,https://cards.scryfall.io/large/front/9/4/94b6881a-b00e-4e90-92e6-602ed8e0e090.jpg?1699043964
Tishana's Tidebinder,Creature — Merfolk Wizard,{2}{U},"Flash

When Tishana’s Tidebinder enters the battlefield, counter up to one target activated or triggered ability. If an ability of an artifact, creature, or planeswalker is countered this way, that permanent loses all abilities for as long as Tishana’s Tidebinder remains on the battlefield. (Mana abilities can’t be targeted.)",3,2,Rare,https://cards.scryfall.io/large/front/9/0/907b3d1d-8c85-4707-80b5-c4d832df9846.jpg?1699043973
Unlucky Drop,Instant,{3}{U},Target artifact or creature’s owner puts it on the top or bottom of their library.,,,Common,https://cards.scryfall.io/large/front/7/6/76ebb2df-8891-434e-9cd0-f25b848cb754.jpg?1699043981
Waterlogged Hulk,Artifact,{U},"{T}: Mill a card. (Put the top card of your library into your graveyard.)

Craft with Island {3}{U} ({3}{U}, Exile this artifact, Exile an Island you control or an Island card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",4,4,Uncommon,https://cards.scryfall.io/large/front/7/e/7ea89d3c-8d47-4bbb-9271-8cdfd9296e2f.jpg?1699043999
Watertight Gondola,"Color Indicator: Blue
          Artifact — Vehicle",,"Vigilance

Descend 8 — Watertight Gondola can’t be blocked as long as there are eight or more permanent cards in your graveyard.

Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",4,4,Uncommon,https://cards.scryfall.io/large/back/7/e/7ea89d3c-8d47-4bbb-9271-8cdfd9296e2f.jpg?1699043999
Waterwind Scout,Creature — Merfolk Scout,{2}{U},"Flying

When Waterwind Scout enters the battlefield, create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",2,2,Common,https://cards.scryfall.io/large/front/8/a/8a7738fb-0a1b-4010-b8c0-e1129739c765.jpg?1699044008
Waylaying Pirates,Creature — Human Pirate,{3}{U},"When Waylaying Pirates enters the battlefield, if you control an artifact, tap target artifact or creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",3,3,Common,https://cards.scryfall.io/large/front/d/e/ded2bb06-7163-47fe-bede-9c192c9b8952.jpg?1699044017
Zoetic Glyph,Enchantment — Aura,{2}{U},"Enchant artifact

Enchanted artifact is a Golem creature with base power and toughness 5/4 in addition to its other types.

When Zoetic Glyph is put into a graveyard from the battlefield, discover 3.",,,Uncommon,https://cards.scryfall.io/large/front/a/2/a2f498ac-179e-4055-9b83-97bcc5ab1bb9.jpg?1699044026
Abyssal Gorestalker,Creature — Horror,{4}{B}{B},"When Abyssal Gorestalker enters the battlefield, each player sacrifices two creatures.",6,6,Uncommon,https://cards.scryfall.io/large/front/a/5/a559f77f-1f10-475b-9361-7f297d50f254.jpg?1699044037
"Aclazotz, Deepest Betrayal",Legendary Creature — Bat God,{3}{B}{B},"Flying, lifelink

Whenever Aclazotz attacks, each opponent discards a card. For each opponent who can’t, you draw a card.

Whenever an opponent discards a land card, create a 1/1 black Bat creature token with flying.

When Aclazotz dies, return it to the battlefield tapped and transformed under its owner’s control.",4,4,Mythic Rare,https://cards.scryfall.io/large/front/6/2/627c392c-4d18-4eb2-a4e8-c668f61f5487.jpg?1699044055
Temple of the Dead,Land,,"(Transforms from Aclazotz, Deepest Betrayal.)

{T}: Add {B}.

{2}{B}, {T}: Transform Temple of the Dead. Activate only if a player has one or fewer cards in hand and only as a sorcery.",4,4,Mythic Rare,https://cards.scryfall.io/large/back/6/2/627c392c-4d18-4eb2-a4e8-c668f61f5487.jpg?1699044055
Acolyte of Aclazotz,Creature — Vampire Cleric,{2}{B},"{T}, Sacrifice another creature or artifact: Each opponent loses 1 life and you gain 1 life.",1,4,Common,https://cards.scryfall.io/large/front/9/9/99009400-ffa4-40af-8305-78295ae605ac.jpg?1699044065
Another Chance,Instant,{2}{B},"You may mill two cards. Then return up to two creature cards from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)",,,Common,https://cards.scryfall.io/large/front/2/0/20d9eb9f-2fcc-49f0-99c1-bad748239466.jpg?1699044076
Bitter Triumph,Instant,{1}{B},"As an additional cost to cast this spell, discard a card or pay 3 life.

Destroy target creature or planeswalker.",,,Uncommon,https://cards.scryfall.io/large/front/0/5/05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f.jpg?1699044085
Bloodletter of Aclazotz,Creature — Vampire Demon,{1}{B}{B}{B},"Flying

If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)",2,4,Mythic Rare,https://cards.scryfall.io/large/front/d/4/d4f6027a-003a-4f9d-929a-0b6da1fa42c9.jpg?1699044094
Bloodthorn Flail,Artifact — Equipment,{B},"Equipped creature gets +2/+1.

Equip—Pay {3} or discard a card.",,,Uncommon,https://cards.scryfall.io/large/front/d/b/db38babd-57e8-4e59-9701-11a0682baa77.jpg?1699044095
Bringer of the Last Gift,Creature — Vampire Demon,{6}{B}{B},"Flying

When Bringer of the Last Gift enters the battlefield, if you cast it, each player sacrifices all other creatures they control. Then each player returns all creature cards from their graveyard that weren’t put there this way to the battlefield.",6,6,Rare,https://cards.scryfall.io/large/front/1/9/19775c18-4cc0-49d3-86e4-0841768cbf4d.jpg?1699044096
Broodrage Mycoid,Creature — Fungus,{3}{B},"At the beginning of your end step, if you descended this turn, create a 1/1 black Fungus creature token with “This creature can’t block.” (You descended if a permanent card was put into your graveyard from anywhere.)",4,3,Common,https://cards.scryfall.io/large/front/0/8/08318a16-a9ed-42c8-9433-876b7a72e368.jpg?1699044103
Canonized in Blood,Enchantment,{1}{B},"At the beginning of your end step, if you descended this turn, put a +1/+1 counter on target creature you control. (You descended if a permanent card was put into your graveyard from anywhere.)

{5}{B}{B}, Sacrifice Canonized in Blood: Create a 4/3 white and black Vampire Demon creature token with flying.",,,Uncommon,https://cards.scryfall.io/large/front/3/8/384b6892-5dfc-4607-b511-cf83544a9357.jpg?1699044103
Chupacabra Echo,Creature — Beast Horror Spirit,{2}{B}{B},"Fathomless descent — When Chupacabra Echo enters the battlefield, target creature an opponent controls gets -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",3,2,Uncommon,https://cards.scryfall.io/large/front/b/d/bdd8eed6-91da-4454-a5e3-7bbfac614f47.jpg?1699044104
Corpses of the Lost,Enchantment,{2}{B},"Skeletons you control get +1/+0 and have haste.

When Corpses of the Lost enters the battlefield, create a 2/2 black Skeleton Pirate creature token.

At the beginning of your end step, if you descended this turn, you may pay 1 life. If you do, return Corpses of the Lost to its owner’s hand. (You descended if a permanent card was put into your graveyard from anywhere.)",,,Rare,https://cards.scryfall.io/large/front/5/f/5f661095-3645-4e44-ac39-752e417c2174.jpg?1699044112
Dead Weight,Enchantment — Aura,{B},"Enchant creature

Enchanted creature gets -2/-2.",,,Common,https://cards.scryfall.io/large/front/8/2/82e6b971-3f5b-47e7-8209-98d72ee781fc.jpg?1699044112
Deathcap Marionette,Creature — Fungus,{1}{B},"Deathtouch

When Deathcap Marionette enters the battlefield, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",1,1,Common,https://cards.scryfall.io/large/front/c/c/ccc9d22c-dfce-4136-aed8-a5fe9bb852f2.jpg?1699044113
Deep Goblin Skulltaker,Creature — Goblin Warrior,{2}{B},"Menace

At the beginning of your end step, if you descended this turn, put a +1/+1 counter on Deep Goblin Skulltaker. (You descended if a permanent card was put into your graveyard from anywhere.)",2,2,Common,https://cards.scryfall.io/large/front/0/b/0b24bb7c-6b34-48b6-af94-f312ebdbb759.jpg?1699044120
Deep-Cavern Bat,Creature — Bat,{1}{B},"Flying, lifelink

When Deep-Cavern Bat enters the battlefield, look at target opponent’s hand. You may exile a nonland card from it until Deep-Cavern Bat leaves the battlefield.",1,1,Uncommon,https://cards.scryfall.io/large/front/6/9/69c68c95-b788-43b1-9f22-1b22c5a00b25.jpg?1699044121
Defossilize,Sorcery,{4}{B},"Return target creature card from your graveyard to the battlefield. That creature explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)",,,Uncommon,https://cards.scryfall.io/large/front/3/d/3d9abaec-af72-4399-b162-5e62e7487242.jpg?1699044122
Echo of Dusk,Creature — Vampire Spirit,{1}{B},"Descend 4 — As long as there are four or more permanent cards in your graveyard, Echo of Dusk gets +1/+1 and has lifelink.",2,2,Common,https://cards.scryfall.io/large/front/3/1/319a457c-89b7-47f6-a13c-20bb50d41138.jpg?1699044129
Fanatical Offering,Instant,{1}{B},"As an additional cost to cast this spell, sacrifice an artifact or creature.

Draw two cards and create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",,,Common,https://cards.scryfall.io/large/front/d/8/d896dd52-b134-4b55-ab91-ccb05ecc50f4.jpg?1699044130
Fungal Fortitude,Enchantment — Aura,{1}{B},"Flash

Enchant creature

Enchanted creature gets +2/+0.

When enchanted creature dies, return it to the battlefield tapped under its owner’s control.",,,Common,https://cards.scryfall.io/large/front/9/d/9d2bd0ca-521c-45d9-85ed-2f36f583408e.jpg?1699044131
Gargantuan Leech,Creature — Leech,{7}{B},"This spell costs {1} less to cast for each Cave you control and each Cave card in your graveyard.

Lifelink",5,5,Uncommon,https://cards.scryfall.io/large/front/9/4/94724efb-4785-4751-9fe1-07f243dd6008.jpg?1699044138
Grasping Shadows,Enchantment,{3}{B},"Whenever a creature you control attacks alone, it gains deathtouch and lifelink until end of turn. Put a dread counter on Grasping Shadows. Then if there are three or more dread counters on it, transform it.",,,Uncommon,https://cards.scryfall.io/large/front/8/1/81b8b9c9-725d-476d-a3cf-55e3dc3e433d.jpg?1699049867
Shadows' Lair,Land — Cave,,"(Transforms from Grasping Shadows.)

{T}: Add {B}.

{B}, {T}, Remove a dread counter from Shadows’ Lair: You draw a card and you lose 1 life.",,,Uncommon,https://cards.scryfall.io/large/back/8/1/81b8b9c9-725d-476d-a3cf-55e3dc3e433d.jpg?1699049867
Greedy Freebooter,Creature — Human Pirate,{B},"When Greedy Freebooter dies, scry 1 and create a Treasure token. (To scry 1, look at the top card of your library. You may put that card on the bottom. A Treasure token is an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",1,1,Common,https://cards.scryfall.io/large/front/6/9/692fe4e8-13b4-4bec-938e-a8073a7fbd71.jpg?1699044146
Join the Dead,Instant,{1}{B}{B},"Target creature gets -5/-5 until end of turn.

Descend 4 — That creature gets -10/-10 until end of turn instead if there are four or more permanent cards in your graveyard.",,,Common,https://cards.scryfall.io/large/front/b/5/b5bf6c25-a7d7-40b6-aa19-f852d348967f.jpg?1699044147
Malicious Eclipse,Sorcery,{1}{B}{B},"All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.",,,Uncommon,https://cards.scryfall.io/large/front/2/7/2796fffa-8cbf-4ec9-91a8-7b6f39fd50ec.jpg?1699044152
Mephitic Draught,Artifact,{1}{B},"When Mephitic Draught enters the battlefield or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.",,,Common,https://cards.scryfall.io/large/front/a/d/adcae196-dbcc-44d5-b700-c57b0b646483.jpg?1699044154
Preacher of the Schism,Creature — Vampire Cleric,{2}{B},"Deathtouch

Whenever Preacher of the Schism attacks the player with the most life or tied for most life, create a 1/1 white Vampire creature token with lifelink.

Whenever Preacher of the Schism attacks while you have the most life or are tied for most life, you draw a card and you lose 1 life.",2,4,Rare,https://cards.scryfall.io/large/front/8/9/89345f55-2b32-4356-945a-d56dded39909.jpg?1699044158
Primordial Gnawer,Creature — Insect Horror,{4}{B},"When Primordial Gnawer dies, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",5,2,Common,https://cards.scryfall.io/large/front/a/1/a18f5ad0-e9c1-4e45-b245-2946e29baecb.jpg?1699044162
Queen's Bay Paladin,Creature — Vampire Knight,{3}{B}{B},"Whenever Queen’s Bay Paladin enters the battlefield or attacks, return up to one target Vampire card from your graveyard to the battlefield with a finality counter on it. You lose life equal to its mana value. (If a creature with a finality counter on it would die, exile it instead.)",5,4,Rare,https://cards.scryfall.io/large/front/d/0/d0a3339d-6067-4af5-9536-7e2d5ddd8918.jpg?1699044164
Rampaging Spiketail,Creature — Dinosaur,{4}{B}{B},"When Rampaging Spiketail enters the battlefield, target creature you control gets +2/+0 and gains indestructible until end of turn.

Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",5,6,Common,https://cards.scryfall.io/large/front/a/a/aad0adcb-80e5-4c6d-bcdd-9e5d18c017b3.jpg?1699044168
Ray of Ruin,Sorcery,{4}{B},"Exile target creature, Vehicle, or nonbasic land. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)",,,Common,https://cards.scryfall.io/large/front/d/4/d440d90e-ac7e-4715-971a-700c977c7fde.jpg?1699044171
Screaming Phantom,Creature — Spirit,{2}{B},"Flying

Whenever Screaming Phantom attacks, mill a card. (Put the top card of your library into your graveyard.)",2,2,Common,https://cards.scryfall.io/large/front/b/c/bc2f3efb-1526-48c0-842a-374af63ea467.jpg?1699044172
Skullcap Snail,Creature — Fungus Snail,{1}{B},"When Skullcap Snail enters the battlefield, target opponent exiles a card from their hand.",1,1,Common,https://cards.scryfall.io/large/front/0/d/0d96d019-5d80-468a-b891-e3e99346372a.jpg?1699044176
Soulcoil Viper,Creature — Snake,{2}{B},"{B}, {T}, Sacrifice Soulcoil Viper: Return target creature card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery. (If a creature with a finality counter on it would die, exile it instead.)",2,3,Uncommon,https://cards.scryfall.io/large/front/1/1/1125fdf2-2dbb-49a6-b76f-8cd6c3d6fab4.jpg?1699044179
Souls of the Lost,Creature — Spirit,{1}{B},"As an additional cost to cast this spell, discard a card or sacrifice a permanent.

Fathomless descent — Souls of the Lost’s power is equal to the number of permanent cards in your graveyard and its toughness is equal to that number plus 1.",*,*+1,Rare,https://cards.scryfall.io/large/front/b/5/b5c6f502-f11f-4e41-beb8-0843432fa431.jpg?1699044180
Stalactite Stalker,Creature — Goblin Rogue,{B},"Menace

At the beginning of your end step, if you descended this turn, put a +1/+1 counter on Stalactite Stalker.

{2}{B}, Sacrifice Stalactite Stalker: Target creature gets -X/-X until end of turn, where X is Stalactite Stalker’s power.",1,1,Rare,https://cards.scryfall.io/large/front/5/3/5319c0b1-de54-492a-bdea-85a5a75d693e.jpg?1699044184
Starving Revenant,Creature — Spirit Horror,{2}{B}{B},"When Starving Revenant enters the battlefield, surveil 2. Then for each card you put on top of your library, you draw a card and you lose 3 life.

Descend 8 — Whenever you draw a card, if there are eight or more permanent cards in your graveyard, target opponent loses 1 life and you gain 1 life.",4,4,Rare,https://cards.scryfall.io/large/front/f/2/f25ea466-eb48-4c4c-b5d4-35f58e46ebe1.jpg?1699044188
Stinging Cave Crawler,Creature — Insect Horror,{2}{B},"Deathtouch

Descend 4 — Whenever Stinging Cave Crawler attacks, if there are four or more permanent cards in your graveyard, you draw a card and you lose 1 life.",1,3,Uncommon,https://cards.scryfall.io/large/front/6/a/6a230208-84ae-4f48-afbd-a0d50596ad27.jpg?1699044189
Synapse Necromage,Creature — Fungus Wizard,{2}{B},"When Synapse Necromage dies, create two 1/1 black Fungus creature tokens with “This creature can’t block.”",3,1,Uncommon,https://cards.scryfall.io/large/front/e/f/efeb22a4-37bf-487a-9cf4-74de4cbbc0a3.jpg?1699044194
Tarrian's Journal,Legendary Artifact,{1}{B},"{T}, Sacrifice another artifact or creature: Draw a card. Activate only as a sorcery.

{2}, {T}, Discard your hand: Transform Tarrian’s Journal.",,,Rare,https://cards.scryfall.io/large/front/9/9/99255a66-b868-45fc-a2a9-0c89bd851b69.jpg?1699044198
The Tomb of Aclazotz,Legendary Land — Cave,,"(Transforms from Tarrian’s Journal.)

{T}: Add {B}.

{T}: You may cast a creature spell from your graveyard this turn. If you do, it enters the battlefield with a finality counter on it and is a Vampire in addition to its other types. (If a creature with a finality counter on it would die, exile it instead.)",,,Rare,https://cards.scryfall.io/large/back/9/9/99255a66-b868-45fc-a2a9-0c89bd851b69.jpg?1699044198
Terror Tide,Sorcery,{2}{B}{B},"Fathomless descent — All creatures get -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",,,Rare,https://cards.scryfall.io/large/front/0/a/0a281d2c-20b9-4887-a924-9be6c07b7629.jpg?1699044203
Tithing Blade,Artifact,{1}{B},"When Tithing Blade enters the battlefield, each opponent sacrifices a creature.

Craft with creature {4}{B} ({4}{B}, Exile this artifact, Exile a creature you control or a creature card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/d/b/dbaa9a2d-e9fd-4746-a26c-f99ae731f024.jpg?1699049915
Consuming Sepulcher,"Color Indicator: Black
          Artifact",,"At the beginning of your upkeep, each opponent loses 1 life and you gain 1 life.",,,Common,https://cards.scryfall.io/large/back/d/b/dbaa9a2d-e9fd-4746-a26c-f99ae731f024.jpg?1699049915
Visage of Dread,Artifact,{1}{B},"When Visage of Dread enters the battlefield, target opponent reveals their hand. You choose an artifact or creature card from it. That player discards that card.

Craft with two creatures {5}{B} ({5}{B}, Exile this artifact, Exile the two from among creatures you control and/or creature cards in your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",5,4,Uncommon,https://cards.scryfall.io/large/front/3/d/3d4b61c6-3e88-49f5-9e16-aa8a59653327.jpg?1699044214
Dread Osseosaur,"Color Indicator: Black
          Creature — Dinosaur Skeleton Horror",,"Menace

Whenever Dread Osseosaur enters the battlefield or attacks, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",5,4,Uncommon,https://cards.scryfall.io/large/back/3/d/3d4b61c6-3e88-49f5-9e16-aa8a59653327.jpg?1699044214
Vito's Inquisitor,Creature — Vampire Knight,{3}{B},"{B}, Sacrifice another creature or artifact: Put a +1/+1 counter on Vito’s Inquisitor. It gains menace until end of turn.",3,3,Common,https://cards.scryfall.io/large/front/9/0/9030048a-b866-4a89-8d4a-aa55411463e4.jpg?1699044215
Abrade,Instant,{1}{R},"Choose one —

• Abrade deals 3 damage to target creature.

• Destroy target artifact.",,,Common,https://cards.scryfall.io/large/front/4/7/47f39b5e-2e85-4f31-bbab-0b0bf58f701d.jpg?1699044218
Ancestors' Aid,Instant,{1}{R},"Target creature gets +2/+0 and gains first strike until end of turn.

Create a Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)",,,Common,https://cards.scryfall.io/large/front/e/9/e90d5b7d-e27d-42d6-ba7a-d4a6b0dd8549.jpg?1699044222
Belligerent Yearling,Creature — Dinosaur,{1}{R},"Trample

Whenever another Dinosaur enters the battlefield under your control, you may have Belligerent Yearling’s base power become equal to that creature’s power until end of turn.",3,2,Uncommon,https://cards.scryfall.io/large/front/0/b/0b2debca-8535-4cf6-a461-c268faaacaae.jpg?1699044224
Bonehoard Dracosaur,Creature — Dinosaur Dragon,{3}{R}{R},"Flying, first strike

At the beginning of your upkeep, exile the top two cards of your library. You may play them this turn. If you exiled a land card this way, create a 3/1 red Dinosaur creature token. If you exiled a nonland card this way, create a Treasure token.",5,5,Mythic Rare,https://cards.scryfall.io/large/front/2/2/2220ed60-3f8f-4dd2-8319-6a06896a5350.jpg?1699044226
Brass's Tunnel-Grinder,Legendary Artifact,{2}{R},"When Brass’s Tunnel-Grinder enters the battlefield, discard any number of cards, then draw that many cards plus one.

At the beginning of your end step, if you descended this turn, put a bore counter on Brass’s Tunnel-Grinder. Then if there are three or more bore counters on it, remove those counters and transform it. (You descended if a permanent card was put into your graveyard from anywhere.)",,,Rare,https://cards.scryfall.io/large/front/d/6/d61d8895-7f2e-4c77-951f-4f1a49e96f57.jpg?1699044234
"Tecutlan, the Searing Rift",Legendary Land — Cave,,"(Transforms from Brass’s Tunnel-Grinder.)

{T}: Add {R}.

Whenever you cast a permanent spell using mana produced by Tecutlan, the Searing Rift, discover X, where X is that spell’s mana value.",,,Rare,https://cards.scryfall.io/large/back/d/6/d61d8895-7f2e-4c77-951f-4f1a49e96f57.jpg?1699044234
Brazen Blademaster,Creature — Orc Pirate,{2}{R},"Whenever Brazen Blademaster attacks while you control two or more artifacts, it gets +2/+1 until end of turn.",2,3,Common,https://cards.scryfall.io/large/front/8/e/8e9e0c66-f64a-428c-be13-a52691833df1.jpg?1699044235
"Breeches, Eager Pillager",Legendary Creature — Goblin Pirate,{2}{R},"First strike

Whenever a Pirate you control attacks, choose one that hasn’t been chosen this turn —

• Create a Treasure token.

• Target creature can’t block this turn.

• Exile the top card of your library. You may play it this turn.",3,3,Rare,https://cards.scryfall.io/large/front/a/a/aadf5028-8dfe-40d3-89b4-22bd7ed0aae6.jpg?1699044239
Burning Sun Cavalry,Creature — Human Knight,{1}{R},"Whenever Burning Sun Cavalry attacks or blocks while you control a Dinosaur, Burning Sun Cavalry gets +1/+1 until end of turn.",2,2,Common,https://cards.scryfall.io/large/front/0/c/0c491ac0-4752-47a7-967e-456b6e4245de.jpg?1699044244
Calamitous Cave-In,Sorcery,{3}{R},"Calamitous Cave-In deals X damage to each creature and each planeswalker, where X is the number of Caves you control plus the number of Cave cards in your graveyard.",,,Uncommon,https://cards.scryfall.io/large/front/8/3/8341ddd9-aac1-4773-b8ce-51e35f696263.jpg?1699044244
Child of the Volcano,Creature — Elemental,{3}{R},"Trample

At the beginning of your end step, if you descended this turn, put a +1/+1 counter on Child of the Volcano. (You descended if a permanent card was put into your graveyard from anywhere.)",3,3,Common,https://cards.scryfall.io/large/front/e/9/e964f026-9cbf-4fa2-acdc-60d19b88f183.jpg?1699044247
Curator of Sun's Creation,Creature — Human Artificer,{3}{R},"Whenever you discover, discover again for the same value. This ability triggers only once each turn.",3,3,Uncommon,https://cards.scryfall.io/large/front/a/1/a144d0b3-678d-4f4c-a9b0-22af19f5cf9f.jpg?1699044253
Daring Discovery,Sorcery,{4}{R},"Up to three target creatures can’t block this turn.

Discover 4. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Common,https://cards.scryfall.io/large/front/d/9/d95018a4-be10-4c46-b14d-4b1eba838bc0.jpg?1699044254
Diamond Pick-Axe,Artifact — Equipment,{R},"Indestructible (Effects that say “destroy” don’t destroy this artifact.)

Equipped creature gets +1/+1 and has “Whenever this creature attacks, create a Treasure token.” (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)

Equip {2}",,,Uncommon,https://cards.scryfall.io/large/front/4/a/4ae30fa7-3d1d-417f-80d7-a668236cb2c1.jpg?1699044256
Dinotomaton,Artifact Creature — Dinosaur Gnome,{3}{R},"Menace (This creature can’t be blocked except by two or more creatures.)

When Dinotomaton enters the battlefield, target creature you control gains menace until end of turn.",4,3,Common,https://cards.scryfall.io/large/front/9/d/9de1a93e-ec71-45fa-b0b8-2c21123e390c.jpg?1699044263
Dire Flail,Artifact — Equipment,{R},"Equipped creature gets +2/+0.

Equip {1}

Craft with artifact {3}{R}{R} ({3}{R}{R}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Rare,https://cards.scryfall.io/large/front/0/d/0d2d98ae-fe02-4a86-9e80-7b95e08de21c.jpg?1699044265
Dire Blunderbuss,"Color Indicator: Red
          Artifact — Equipment",,"Equipped creature gets +3/+0 and has “Whenever this creature attacks, you may sacrifice an artifact other than Dire Blunderbuss. When you do, this creature deals damage equal to its power to target creature.”

Equip {1}",,,Rare,https://cards.scryfall.io/large/back/0/d/0d2d98ae-fe02-4a86-9e80-7b95e08de21c.jpg?1699044265
Dowsing Device,Artifact,{1}{R},"Whenever Dowsing Device or another artifact enters the battlefield under your control, up to one target creature you control gets +1/+0 and gains haste until end of turn. Then transform Dowsing Device if you control four or more artifacts.",,,Uncommon,https://cards.scryfall.io/large/front/3/d/3d715e9f-223d-462e-8ce3-eebbaf1cd021.jpg?1699044274
Geode Grotto,Land — Cave,,"(Transforms from Dowsing Device.)

{T}: Add {R}.

{2}{R}, {T}: Until end of turn, target creature gains haste and gets +X/+0, where X is the number of artifacts you control. Activate only as a sorcery.",,,Uncommon,https://cards.scryfall.io/large/back/3/d/3d715e9f-223d-462e-8ce3-eebbaf1cd021.jpg?1699044274
Dreadmaw's Ire,Instant,{R},"Until end of turn, target attacking creature gets +2/+2 and gains trample and “Whenever this creature deals combat damage to a player, destroy target artifact that player controls.”",,,Uncommon,https://cards.scryfall.io/large/front/0/6/062e00a1-f1dc-4089-b640-800ab781c590.jpg?1699044274
Enterprising Scallywag,Creature — Goblin Pirate,{1}{R},"At the beginning of your end step, if you descended this turn, create a Treasure token. (You descended if a permanent card was put into your graveyard from anywhere.)",2,2,Uncommon,https://cards.scryfall.io/large/front/4/4/44420f52-2ed8-4f81-93e4-5decc77bed01.jpg?1699044280
Etali's Favor,Enchantment — Aura,{2}{R},"Enchant creature you control

When Etali’s Favor enters the battlefield, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)

Enchanted creature gets +1/+1 and has trample.",,,Common,https://cards.scryfall.io/large/front/6/d/6d4075a8-c15d-4078-bf4b-0f85c03fecec.jpg?1699044282
